"Neighborhood","Venue Category","Venue","Id","Neighborhood_Latitude","Neighborhood_Longitude","Location_Formatted_Address","Categories_Name","Location_Address","Location_Postal_Code","Location_City","Location_State","Cluster_Label"
"Bsk 3rd Stage","Electronics","Croma","4e819ec1f79047b5689530dc",12.9241292,77.55299828,"100 Ft Ring Road (Bsk 3rd Stage)","Electronics Store","100 Ft Ring Road","null","Bangalore","Karnataka",0
"T.C Palya","Convenience Store","Reliance Fresh","4ed476e4e3007ce6d72c5124",13.02255436,77.69637162,"T.C Palya","Convenience Store","T.C Palya","null","Bangalore","Karnataka",2
"Basavanagudi","Apparel","Sri Balaji Creation's","5fdf403cf7231750b6b50070",12.944546,77.57156,"Bangalore 560004","Clothing Store","null",560004,"Bangalore","Karnataka",0
"Nagarbhavi","Market","M K Ahmed super market","4ea2b307cc2102b34d1ab1ae",12.96082183,77.50693137,"nagarbhavi 13 block","Market","null",560072,"Bangalore","Karnataka",0
"Dommasandra","Department Store","Dmart","5d86314d0ad7eb0008bd314e",12.861114,77.7777,"Bangalore 562125","Department Store","null",562125,"Bangalore","Karnataka",2
"HSR","Home Services","Videotech Electronics Repair Shop","5fd9f73e70334509b9c45468",12.91979,77.64926,"152/1, 1st Floor, Shankar Reddy Complex, Beside Thirumala Theatre, (AGARA, HSR Layout 24th Main)","Home Service","152/1, 1st Floor, Shankar Reddy Complex, Beside Thirumala Theatre,",560102,"Bangalore","Karnataka",2
"G.K.V.K.","Grocery Store","Foodworld","59359167f2905e389a00a4f9",13.07586825,77.63691376,"FoodWorld, Sobha City (Thanisandra Main Rd,)","Grocery Store","FoodWorld, Sobha City",560065,"Bangalore","Karnataka",1
"Amrutha College Road","Bank","HDFC Bank ATM","5303a0d411d2eac30b632fcd",12.9073,77.6755,"15 / 3A, Opp. Occanus Monarda, Amrutha College Road","Bank","15 / 3A, Opp. Occanus Monarda, Amrutha College Road","null","Bangalore","Karnataka",2
"Adugodi","Department Store","Star Bazaar","4c13428ff1e0b713a39e34bc",12.93695561,77.61070868,"Koramangala (Hosur Road)","Department Store","Koramangala",560030,"Bangalore","Karnataka",0
"Bannerghatta Road","Mall","Vega City Mall","4f6888e0e4b053c516daee68",12.907603,77.60114,"Bangalore 560076","Shopping Mall","null",560076,"Bangalore","Karnataka",0
"MG Road","Mall","1 MG Road","4f884376e4b002b90a20c1b3",12.97347602,77.62013653,"1, MG Road","Shopping Mall","1, MG Road","null","Bangalore","Karnataka",0
"Arabic College","Mall","Elements Mall","516e49bee4b06d961129636d",13.04505908,77.62685199,"Thanisandra Main Road","Shopping Mall","Thanisandra Main Road",560045,"Bangalore","Karnataka",1
"Kanakanagar","Pet Store","Shreenidhi Vet Pharma","4f981be1a17cf4e1f936075b",13.0272098,77.58592129,"#49, Bellary Road, Ganganagar, R T Nagar","Pet Store","#49, Bellary Road, Ganganagar, R T Nagar",560032,"Bangalore","Karnataka",1
"Seshadripuram","Bank","Corporation Bank","50e261e7e4b0bc86bb3ddbc1",12.99390803,77.57208115,"South End Road, Mill Corner (Sheshadripuram PO, Malleshwaram)","Bank","South End Road, Mill Corner",560020,"Bangalore","Karnataka",1
"Devasandra","Convenience Store","more.","510c034ae4b0ae024047ac5b",13.02339086,77.69565438,"Anandapura, TC Palya Main Road (KR Puram)","Convenience Store","Anandapura, TC Palya Main Road",560036,"Bangalore","Karnataka",2
"Lavelle Road","Gas Station","Shell Fuel Station","4e16db1445ddc623eb0c9f50",12.97125537,77.59719792,"Lavelle Road","Gas Station","Lavelle Road","null","Bangalore","Karnataka",0
"Jayangar III Block","Grocery Store","Simpli Namadharis","5d596c002605c800085d7ea8",12.939538,77.58543,"Bangalore 560011","Grocery Store","null",560011,"Bangalore","Karnataka",0
"Chikkalasandra","Market","Star Bazzar","5635cf30498eb65f53aff0a8",12.89970248,77.5606838,"I S R O Layout","Market","I S R O Layout",560061,"Bangalore","Karnataka",0
"Jayangar III Block","Department Store","MP Departmental Stores","50c6e880e4b0c8e85a4dae5c",12.93987773,77.58311033,"8th cross","Department Store","null",560011,"Bangalore","Karnataka",0
"Austin Town","Grocery Store","North East Food Court","5fd0f1f4e975262b82205c21",12.9457855,77.62887,"Bangalore 560047","Grocery Store","null",560047,"Bangalore","Karnataka",0
"Fraser Town","Grocery Store","Smookah","5e11e01d5b5d2e0008a1dcbc",12.995671,77.61104,"Bangalore 560005","Grocery Store","null",560005,"Bangalore","Karnataka",1
